Date : 2021-05-04 11:34:37
Directory : d:\pythongui
Total : 102 files,  2605 codes, 371 comments, 527 blanks, all 3503 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\pythongui\pyside6\layouts\l4.py        | Python   |         20 |          7 |          3 |         30 |
| d:\pythongui\pyside6\projects\login.py    | Python   |         51 |         15 |         10 |         76 |
| d:\pythongui\pyside6\projects\login.ui    | XML      |         81 |          0 |          1 |         82 |
| d:\pythongui\pyside6\projects\register.py | Python   |         19 |          0 |          3 |         22 |
| d:\pythongui\pyside6\projects\register.ui | XML      |        242 |          0 |          1 |        243 |
| d:\pythongui\pyside6\uilayouts\l1.py      | Python   |         34 |         10 |         17 |         61 |
| d:\pythongui\pyside6\uilayouts\l1.ui      | XML      |         59 |          0 |          1 |         60 |
| d:\pythongui\pyside6\uilayouts\l1main.py  | Python   |         13 |          0 |          5 |         18 |
| d:\pythongui\pyside6\uilayouts\l1main1.py | Python   |         19 |          0 |          3 |         22 |
| d:\pythongui\pyside6\uilayouts\l2.py      | Python   |         34 |         10 |         17 |         61 |
| d:\pythongui\pyside6\uilayouts\l2.ui      | XML      |         59 |          0 |          1 |         60 |
| d:\pythongui\pyside6\uilayouts\l2main.py  | Python   |         13 |          0 |          5 |         18 |
| d:\pythongui\pyside6\uilayouts\l3.py      | Python   |         34 |         10 |         17 |         61 |
| d:\pythongui\pyside6\uilayouts\l3.ui      | XML      |         59 |          0 |          1 |         60 |
| d:\pythongui\pyside6\uilayouts\l3main.py  | Python   |         13 |          0 |          5 |         18 |
| d:\pythongui\pyside6\uilayouts\l4.py      | Python   |         34 |         10 |         17 |         61 |
| d:\pythongui\pyside6\uilayouts\l4.ui      | XML      |         59 |          0 |          1 |         60 |
| d:\pythongui\pyside6\uilayouts\l4main.py  | Python   |         13 |          0 |          5 |         18 |
| d:\pythongui\pyside6\widgets\w01.py       | Python   |          7 |          4 |          1 |         12 |
| d:\pythongui\pyside6\widgets\w02.py       | Python   |         12 |          3 |          2 |         17 |
| d:\pythongui\pyside6\widgets\w03.py       | Python   |         12 |          5 |          2 |         19 |
| d:\pythongui\pyside6\widgets\w04.py       | Python   |         20 |          9 |          4 |         33 |
| d:\pythongui\pyside6\widgets\w05.py       | Python   |         16 |          8 |          4 |         28 |
| d:\pythongui\pyside6\widgets\w06.py       | Python   |         30 |          8 |          5 |         43 |
| d:\pythongui\pyside6\widgets\w07.py       | Python   |         30 |          8 |          5 |         43 |
| d:\pythongui\pyside6\widgets\w08.py       | Python   |         23 |          8 |          5 |         36 |
| d:\pythongui\pyside6\widgets\w09.py       | Python   |         24 |         10 |          5 |         39 |
| d:\pythongui\pyside6\widgets\w10.py       | Python   |         33 |          7 |         10 |         50 |
| d:\pythongui\tkinter\canvas\c1.py         | Python   |         16 |          8 |          8 |         32 |
| d:\pythongui\tkinter\layouts\l1.py        | Python   |         11 |          1 |          4 |         16 |
| d:\pythongui\tkinter\layouts\l2.py        | Python   |         11 |          1 |          4 |         16 |
| d:\pythongui\tkinter\layouts\l3.py        | Python   |         13 |          1 |          4 |         18 |
| d:\pythongui\tkinter\projects\login.py    | Python   |         32 |         11 |          8 |         51 |
| d:\pythongui\tkinter\widgets\w01.py       | Python   |          7 |          5 |          2 |         14 |
| d:\pythongui\tkinter\widgets\w02.py       | Python   |          9 |          4 |          2 |         15 |
| d:\pythongui\tkinter\widgets\w03.py       | Python   |         10 |          9 |          2 |         21 |
| d:\pythongui\tkinter\widgets\w04.py       | Python   |          9 |          0 |          3 |         12 |
| d:\pythongui\tkinter\widgets\w05.py       | Python   |          7 |          0 |          3 |         10 |
| d:\pythongui\tkinter\widgets\w06.py       | Python   |         16 |          4 |          4 |         24 |
| d:\pythongui\tkinter\widgets\w07.py       | Python   |         19 |          3 |          5 |         27 |
| d:\pythongui\tkinter\widgets\w08.py       | Python   |         14 |          4 |          5 |         23 |
| d:\pythongui\tkinter\widgets\w09.py       | Python   |         13 |          5 |          5 |         23 |
| d:\pythongui\tkinter\widgets\w10.py       | Python   |         23 |          3 |          4 |         30 |
| d:\pythongui\wxpython\canvas\c1.py        | Python   |         31 |          0 |          7 |         38 |
| d:\pythongui\wxpython\layouts\l1.py       | Python   |         20 |          0 |          3 |         23 |
| d:\pythongui\wxpython\layouts\l2.py       | Python   |         20 |          0 |          3 |         23 |
| d:\pythongui\wxpython\layouts\l3.py       | Python   |         20 |          0 |          3 |         23 |
| d:\pythongui\wxpython\projects\login.py   | Python   |         46 |         11 |          7 |         64 |
| d:\pythongui\wxpython\widgets\w01.py      | Python   |          7 |          4 |          3 |         14 |
| d:\pythongui\wxpython\widgets\w02.py      | Python   |         14 |          0 |          5 |         19 |
| d:\pythongui\wxpython\widgets\w03.py      | Python   |         15 |          2 |          5 |         22 |
| d:\pythongui\wxpython\widgets\w04.py      | Python   |         12 |          2 |          2 |         16 |
| d:\pythongui\wxpython\widgets\w05.py      | Python   |         11 |          1 |          2 |         14 |
| d:\pythongui\wxpython\widgets\w06.py      | Python   |         19 |          0 |          5 |         24 |
| d:\pythongui\wxpython\widgets\w07.py      | Python   |         27 |          0 |          4 |         31 |
| d:\pythongui\wxpython\widgets\w08.py      | Python   |         19 |          0 |          6 |         25 |
| d:\pythongui\wxpython\widgets\w09.py      | Python   |         19 |          2 |          6 |         27 |
| d:\pythongui\wxpython\widgets\w10.py      | Python   |         40 |          2 |         10 |         52 |
| Total                                     |          |      2,605 |        371 |        527 |      3,503 |
+-------------------------------------------+----------+------------+------------+------------+------------+
